Location,Headquarters,Type of ownership,Industry,Rating,Sector,hourly,avr_salary,company_txt,age,job_state,same_state,python_yn,R_yn,sql_yn,excel_yn,job_title,seniority,desc_len,num_comp,employees_num,revenue_avr
"Dearborn, MI","Detroit, MI",Company - Private,Advertising & Marketing,4.3,Business Services,0,87.5,OneMagnify,56.0,MI,False,False,False,True,True,manager,na,270,0,350.5,
"San Rafael, CA","San Rafael, CA",Subsidiary or Business Segment,"Department, Clothing, & Shoe Stores",3.6,Retail,0,51.5,Vionic Group,17.0,CA,True,False,False,False,True,data analyst,na,633,0,125.5,0.3
"Hamilton, NJ","Hamilton, NJ",Company - Private,IT Services,2.8,Information Technology,0,77.5,Dodge Data & Analytics,9.0,NJ,True,True,False,True,True,data analyst,senior,825,0,350.5,
"Woodbridge, NJ","Boston, MA",Company - Private,Insurance Carriers,3.3,Insurance,0,98.5,Plymouth Rock Assurance,41.0,NJ,False,False,False,True,True,data scientist,senior,432,2,3000.5,0.0175
"Lewes, DE","Lewes, DE",Nonprofit Organization,Health Care Services & Hospitals,3.6,Health Care,1,57.2,Beebe Healthcare,88.0,DE,True,False,False,False,False,na,na,356,0,3000.5,0.3
"New York, NY","Hamilton, Bermuda",Company - Public,Insurance Carriers,3.4,Insurance,0,147.0,Argo Group US,75.0,NY,False,True,False,True,False,data scientist,senior,713,0,3000.5,1.5
"Springfield, MO","Springfield, MO",Company - Private,Energy,4.1,"Oil, Gas, Energy & Utilities",0,61.0,Associated Electric Cooperative,62.0,MO,True,False,False,True,True,data analyst,na,412,0,750.5,1.5
"Pittsburgh, PA","Pittsburgh, PA",College / University,Colleges & Universities,2.6,Education,0,120.0,Software Engineering Institute,39.0,PA,True,True,False,False,False,machine learning,na,386,0,750.5,
"Phoenix, AZ","Westlake Village, CA",Company - Public,Lending,3.2,Finance,0,124.5,PennyMac,15.0,AZ,False,True,False,True,True,data scientist,na,267,3,3000.5,0.75
"Burbank, CA","Burbank, CA",Company - Private,Financial Analytics & Research,3.9,Finance,0,148.0,Zest AI,14.0,CA,True,True,False,False,False,data scientist,senior,335,0,125.5,0.075
"Huntsville, AL","Arlington, VA",Company - Private,Aerospace & Defense,4.7,Aerospace & Defense,0,59.0,DECISIVE ANALYTICS Corporation,27.0,AL,False,True,False,False,True,data analyst,na,426,2,125.5,0.0375
"Worcester, MA","Worcester, MA",Company - Public,Insurance Carriers,3.7,Insurance,0,146.5,The Hanover Insurance Group,171.0,MA,True,True,False,True,True,data scientist,senior,703,0,7500.5,7.5
"Chicago, IL","Chicago, IL",Company - Private,Biotech & Pharmaceuticals,3.0,Biotech & Pharmaceuticals,0,133.0,Tempus Labs,8.0,IL,True,True,False,True,False,machine learning,senior,442,0,750.5,
"Salt Lake City, UT","Salt Lake City, UT",Company - Private,Biotech & Pharmaceuticals,4.7,Biotech & Pharmaceuticals,0,140.5,Recursion Pharmaceuticals,10.0,UT,True,True,False,False,False,data scientist,senior,653,0,125.5,0.003
"Rochester, NY","Rochester, NY",Hospital,Health Care Services & Hospitals,3.3,Health Care,0,84.5,Rochester Regional Health,9.0,NY,True,False,False,False,False,na,senior,487,0,10000.0,0.75
"Annapolis Junction, MD","Annapolis Junction, MD",Company - Private,Computer Hardware & Software,4.0,Information Technology,0,93.5,ClearEdge,21.0,MD,True,False,False,False,True,na,na,637,0,125.5,0.0075
"Cambridge, MA","Cambridge, MA",Company - Public,Biotech & Pharmaceuticals,4.4,Biotech & Pharmaceuticals,0,134.5,Rubius Therapeutics,10.0,MA,True,False,False,False,False,na,senior,622,0,350.5,0.3
"San Francisco, CA","San Francisco, CA",Company - Private,Internet,3.9,Information Technology,0,181.0,Tapjoy,16.0,CA,True,True,False,True,False,machine learning,na,275,2,350.5,0.0175
"Rochester, NY","Rochester, NY",Hospital,Health Care Services & Hospitals,3.3,Health Care,0,84.5,Rochester Regional Health,9.0,NY,True,False,False,False,False,na,senior,481,0,10000.0,0.75
"Highland, CA","Highland, CA",Company - Private,Gambling,3.6,"Arts, Entertainment & Recreation",0,48.5,San Manuel Casino,37.0,CA,True,False,False,True,True,data analyst,na,618,0,3000.5,0.3
"Burleson, TX","Arlington, TX",Hospital,Health Care Services & Hospitals,4.0,Health Care,1,44.72,Texas Health Huguley Hospital,46.0,TX,False,False,False,False,False,na,na,712,0,3000.5,0.075
"Pittsburgh, PA","Pittsburgh, PA",College / University,Colleges & Universities,2.6,Education,0,124.0,Software Engineering Institute,39.0,PA,True,False,False,False,False,machine learning,senior,733,0,750.5,
"Scotts Valley, CA","Scotts Valley, CA",Nonprofit Organization,Health Care Services & Hospitals,3.5,Health Care,0,64.0,Central California Alliance for Health,27.0,CA,True,False,False,True,False,manager,na,575,0,750.5,0.75
"Knoxville, TN","Knoxville, TN",Company - Private,Gas Stations,3.0,Retail,0,98.0,Pilot Flying J Travel Centers LLC,65.0,TN,True,True,False,True,False,data engineer,senior,313,3,10000.0,10.0
"Millville, DE","Lewes, DE",Nonprofit Organization,Health Care Services & Hospitals,3.6,Health Care,1,57.2,Beebe Healthcare,88.0,DE,False,False,False,False,False,na,na,367,0,3000.5,0.3
"Milwaukee, WI","Milwaukee, WI",Company - Private,Food & Beverage Manufacturing,3.3,Manufacturing,0,54.0,Palermo's Pizza,59.0,WI,True,False,False,False,False,na,na,371,0,750.5,
"Rockville, MD","Rockville, MD",Company - Private,Biotech & Pharmaceuticals,2.7,Biotech & Pharmaceuticals,0,81.0,Advanced BioScience Laboratories,62.0,MD,True,False,False,False,True,na,na,514,0,350.5,0.0375
"Chicago, IL","Chicago, IL",Company - Public,Transportation Management,3.4,Transportation & Logistics,0,107.5,Echo Global Logistics,18.0,IL,True,False,False,True,False,data engineer,senior,611,3,3000.5,3.5
"Chicago, IL","New Plymouth, ID",Company - Private,Logistics & Supply Chain,3.8,Transportation & Logistics,0,112.5,Truckstop.com,28.0,IL,False,True,False,True,True,data scientist,na,868,0,750.5,
"Herndon, VA","Bethesda, MD",Company - Public,Aerospace & Defense,3.7,Aerospace & Defense,0,89.0,Lockheed Martin,28.0,VA,False,True,False,True,True,data scientist,na,753,3,10000.0,10.0
"New York, NY","New York, NY",Company - Private,Travel Agencies,3.8,Travel & Tourism,0,65.0,Fareportal,21.0,NY,True,False,False,True,True,data analyst,na,356,3,3000.5,3.5
"New Orleans, LA","Washington, DC",Government,Federal Agencies,3.4,Government,1,41.6,"Veterans Affairs, Veterans Health Administration",93.0,LA,False,False,False,False,False,na,na,1255,0,10000.0,
"Dallas, TX","Dallas, TX",Subsidiary or Business Segment,Consulting,4.3,Business Services,0,72.5,Credera,24.0,TX,True,True,False,True,True,data scientist,na,811,0,350.5,
"Ewing, NJ","Ewing, NJ",Company - Public,Consumer Products Manufacturing,3.4,Manufacturing,0,109.5,Church & Dwight,177.0,NJ,True,True,False,False,True,manager,na,428,0,3000.5,3.5
"Cambridge, MA","Cambridge, MA",Company - Private,Internet,3.9,Information Technology,0,84.5,Cogo Labs,18.0,MA,True,True,False,True,False,data engineer,na,304,0,125.5,
"Chicago, IL","Chicago, IL",Company - Private,Advertising & Marketing,3.4,Business Services,0,87.5,Spectrum Communications and Consulting,31.0,IL,True,False,False,True,False,data scientist,na,653,0,125.5,0.0175
"San Mateo, CA","Seoul, South Korea",Company - Public,Video Games,3.1,Media,0,92.5,NCSOFT,26.0,CA,False,True,True,True,True,data analyst,na,442,3,3000.5,10.0
"McLean, VA","Bedford, MA",Nonprofit Organization,Federal Agencies,3.2,Government,0,81.5,MITRE,65.0,VA,False,True,False,False,False,data scientist,na,431,3,7500.5,1.5
"Dayton, OH","Dayton, OH",Company - Private,Trucking,4.3,Transportation & Logistics,0,79.0,"Dayton Freight Lines, Inc.",42.0,OH,True,False,False,True,False,na,na,244,2,3000.5,
"Boston, MA","Springfield, MA",Company - Private,Insurance Carriers,3.6,Insurance,0,164.0,MassMutual,172.0,MA,False,True,False,True,False,data scientist,senior,618,0,7500.5,10.0
"South San Francisco, CA","South San Francisco, CA",Subsidiary or Business Segment,Biotech & Pharmaceuticals,3.9,Biotech & Pharmaceuticals,0,169.0,Genentech,47.0,CA,True,True,False,True,True,data scientist,senior,954,0,10000.0,10.0
"Cupertino, CA","Sunnyvale, CA",Company - Public,Telecommunications Services,3.8,Telecommunications,0,142.0,Juniper Networks,27.0,CA,False,True,False,False,True,data scientist,senior,341,0,7500.5,3.5
"San Francisco, CA","San Francisco, CA",Company - Private,Enterprise Software & Network Solutions,3.4,Information Technology,0,69.0,TrueAccord,10.0,CA,True,True,False,True,True,data analyst,na,799,0,125.5,
"Meridian, ID","Akron, OH",Company - Private,Computer Hardware & Software,4.0,Information Technology,0,49.0,DRB Systems,39.0,ID,False,True,True,True,True,data analyst,na,393,0,350.5,0.075
"San Jose, CA","San Jose, CA",Company - Public,Computer Hardware & Software,3.5,Information Technology,0,171.5,Western Digital,53.0,CA,True,True,False,True,False,data scientist,na,620,2,10000.0,10.0
"Frederick, MD","Frederick, MD",Company - Private,Insurance Carriers,3.8,Insurance,0,107.0,Legal & General America,42.0,MD,True,True,False,True,True,data scientist,na,416,0,750.5,0.75
"Cherry Hill, NJ","Cherry Hill, NJ",Company - Private,Enterprise Software & Network Solutions,3.7,Information Technology,0,59.0,Corcentric,27.0,NJ,True,False,False,False,True,data analyst,na,407,0,350.5,
"Cambridge, MA","New York, NY",Company - Public,Biotech & Pharmaceuticals,4.0,Biotech & Pharmaceuticals,0,86.5,Pfizer,174.0,MA,False,True,False,False,True,data scientist,na,513,0,10000.0,10.0
"Louisville, KY","Peachtree City, GA",Nonprofit Organization,Logistics & Supply Chain,4.3,Transportation & Logistics,0,84.0,SMC 3,88.0,KY,False,True,False,True,True,data scientist,na,405,0,125.5,0.0175
"New York, NY","Cincinnati, OH",Company - Private,Consulting,4.7,Business Services,0,114.5,Systems Evolution Inc.,31.0,NY,False,True,False,True,True,na,na,581,0,350.5,0.075
"Marlborough, MA","Marlborough, MA",Company - Private,Biotech & Pharmaceuticals,3.5,Biotech & Pharmaceuticals,0,145.0,Sunovion,13.0,MA,True,True,False,False,True,na,senior,718,3,3000.5,1.5
"Nashville, TN","San Francisco, CA",Company - Public,Internet,4.4,Information Technology,0,88.0,Eventbrite,17.0,TN,False,True,False,True,True,data engineer,na,659,3,3000.5,0.3
"Chicago, IL","Chicago, IL",Company - Private,Internet,4.1,Information Technology,0,100.0,Centro,22.0,IL,True,True,False,True,False,data engineer,na,741,3,750.5,0.3
"Herndon, VA","Herndon, VA",Nonprofit Organization,Colleges & Universities,2.9,Education,0,61.5,National Student Clearinghouse,30.0,VA,True,True,False,True,True,data analyst,senior,825,3,350.5,0.0375
"Portland, OR","Reston, VA",Company - Public,Advertising & Marketing,2.5,Business Services,0,96.5,comScore,24.0,OR,False,True,False,True,False,data scientist,na,616,3,3000.5,1.5
"Minneapolis, MN","Chicago, IL",Company - Private,Consulting,4.2,Business Services,0,76.0,SullivanCotter,31.0,MN,False,True,False,True,True,data analyst,na,329,3,350.5,
"Austin, TX","Austin, TX",Company - Private,Advertising & Marketing,4.3,Business Services,0,83.5,Bakery Agency,13.0,TX,True,True,False,True,True,data scientist,na,428,0,25.5,
"Madison, WI","Madison, WI",Government,Investment Banking & Asset Management,2.7,Finance,0,120.0,State of Wisconsin Investment Board,72.0,WI,True,True,False,True,False,data scientist,na,917,0,125.5,0.075
"South San Francisco, CA","South San Francisco, CA",Subsidiary or Business Segment,Biotech & Pharmaceuticals,3.9,Biotech & Pharmaceuticals,0,163.0,Genentech,47.0,CA,True,False,False,True,True,data scientist,na,631,0,10000.0,10.0
"Providence, RI","Providence, RI",Nonprofit Organization,Insurance Carriers,3.4,Insurance,0,100.0,Blue Cross & Blue Shield of Rhode Island,84.0,RI,True,False,False,True,False,data analyst,senior,630,1,750.5,
"Omaha, NE","Omaha, NE",Nonprofit Organization,Social Assistance,3.8,Non-Profit,0,52.5,Boys Town,106.0,NE,True,False,False,False,True,na,na,673,3,3000.5,
"Washington, DC","Washington, DC",Nonprofit Organization,Health Care Services & Hospitals,3.3,Health Care,0,50.0,The HSC Health Care System,140.0,DC,True,False,False,True,True,data analyst,junior,591,0,750.5,
"Austin, TX","Alexandria, VA",Company - Private,Consulting,3.4,Business Services,0,93.0,Pro-Sphere Tek,17.0,TX,False,True,False,True,False,data engineer,na,516,0,350.5,0.075
"Cincinnati, OH","Lincoln, NE",Company - Private,Insurance Agencies & Brokerages,3.0,Insurance,0,94.5,Ameritas Life Insurance Corp,136.0,OH,False,True,False,True,False,data scientist,na,477,0,3000.5,3.5
"San Francisco, CA","San Rafael, CA",Company - Public,Computer Hardware & Software,4.0,Information Technology,0,150.5,Autodesk,41.0,CA,False,True,False,True,False,data scientist,senior,343,0,7500.5,3.5
"Raleigh, NC","Richmond, VA",Company - Public,Insurance Carriers,3.7,Insurance,0,102.0,Genworth,19.0,NC,False,True,False,True,True,data scientist,na,789,3,3000.5,7.5
"Cambridge, MA","Cambridge, MA",Company - Public,Biotech & Pharmaceuticals,4.4,Biotech & Pharmaceuticals,0,62.0,Rubius Therapeutics,10.0,MA,True,False,False,False,False,na,na,762,0,350.5,0.3
"Dearborn, MI","Detroit, MI",Company - Private,Advertising & Marketing,4.3,Business Services,0,87.5,OneMagnify,56.0,MI,False,False,False,True,True,manager,na,270,0,350.5,
"Groton, CT","New York, NY",Company - Public,Biotech & Pharmaceuticals,4.0,Biotech & Pharmaceuticals,0,84.0,Pfizer,174.0,CT,False,False,False,False,True,data scientist,na,710,0,10000.0,10.0
"Herndon, VA","Mc Lean, VA",Company - Private,Enterprise Software & Network Solutions,4.0,Information Technology,0,143.0,Novetta,11.0,VA,False,True,False,False,False,data scientist,na,545,3,750.5,0.3
"Oakland, CA","Santa Ana, CA",Company - Private,Insurance Carriers,3.9,Insurance,0,108.0,Trace Data,23.0,CA,False,True,False,True,False,data scientist,na,439,0,125.5,0.0175
"San Rafael, CA","San Rafael, CA",Subsidiary or Business Segment,"Department, Clothing, & Shoe Stores",3.6,Retail,0,51.5,Vionic Group,17.0,CA,True,False,False,False,True,data analyst,na,633,0,125.5,0.3
"Hamilton, NJ","Hamilton, NJ",Company - Private,IT Services,2.8,Information Technology,0,77.5,Dodge Data & Analytics,9.0,NJ,True,True,False,True,True,data analyst,senior,825,0,350.5,
"Boise, ID","Boise, ID",Company - Private,Investment Banking & Asset Management,4.2,Finance,0,63.5,Clearwater Analytics,19.0,ID,True,False,False,True,True,data analyst,na,360,0,750.5,0.075
"Oak Ridge, TN","Lynchburg, VA",Company - Public,Aerospace & Defense,3.5,Aerospace & Defense,0,96.0,BWX Technologies,173.0,TN,False,True,False,False,False,data scientist,na,496,0,7500.5,0.75
"Agoura Hills, CA","Westlake Village, CA",Company - Public,Lending,3.2,Finance,0,101.0,PennyMac,15.0,CA,False,True,False,True,True,data engineer,na,344,3,3000.5,0.75
"Woodbridge, NJ","Boston, MA",Company - Private,Insurance Carriers,3.3,Insurance,0,98.5,Plymouth Rock Assurance,41.0,NJ,False,False,False,True,True,data scientist,senior,432,2,3000.5,0.0175
"Pella, IA","Pella, IA",Company - Private,Industrial Manufacturing,3.9,Manufacturing,0,77.5,Vermeer,75.0,IA,True,False,False,True,True,data engineer,na,491,3,3000.5,1.5
"Lewes, DE","Lewes, DE",Nonprofit Organization,Health Care Services & Hospitals,3.6,Health Care,1,57.2,Beebe Healthcare,88.0,DE,True,False,False,False,False,na,na,356,0,3000.5,0.3
"New York, NY","Hamilton, Bermuda",Company - Public,Insurance Carriers,3.4,Insurance,0,147.0,Argo Group US,75.0,NY,False,True,False,True,False,data scientist,senior,713,0,3000.5,1.5
"San Ramon, CA","Mumbai, India",Company - Public,IT Services,3.5,Information Technology,0,90.0,L&T Infotech,26.0,CA,False,True,False,True,True,data scientist,na,183,3,10000.0,
"Red Bank, NJ","Toms River, NJ",Company - Public,Banks & Credit Unions,4.3,Finance,0,58.0,OceanFirst Financial,121.0,NJ,False,False,False,True,False,data analyst,na,845,0,750.5,7.5
"Springfield, MO","Springfield, MO",Company - Private,Energy,4.1,"Oil, Gas, Energy & Utilities",0,61.0,Associated Electric Cooperative,62.0,MO,True,False,False,True,True,data analyst,na,412,0,750.5,1.5
"Pittsburgh, PA","Pittsburgh, PA",College / University,Colleges & Universities,2.6,Education,0,120.0,Software Engineering Institute,39.0,PA,True,True,False,False,False,machine learning,na,386,0,750.5,
"Hillsboro, OR","San Jose, CA",Company - Private,Banks & Credit Unions,3.5,Finance,0,99.5,First Tech Federal Credit Union,71.0,OR,False,True,False,True,True,data scientist,na,593,0,3000.5,0.3
"Detroit, MI","Detroit, MI",Company - Private,Real Estate,3.6,Real Estate,0,96.0,Amrock,26.0,MI,True,True,False,True,False,data scientist,na,470,0,3000.5,0.75
"Washington, DC","Washington, DC",Company - Public,Biotech & Pharmaceuticals,2.3,Biotech & Pharmaceuticals,0,101.0,Vanda Pharmaceuticals,20.0,DC,True,True,False,True,True,data scientist,na,221,0,350.5,0.3
"Burbank, CA","Burbank, CA",Company - Private,Financial Analytics & Research,3.9,Finance,0,148.0,Zest AI,14.0,CA,True,True,False,False,False,data scientist,senior,335,0,125.5,0.075
"Fort Belvoir, VA","Mc Lean, VA",Company - Private,Enterprise Software & Network Solutions,4.0,Information Technology,0,142.0,Novetta,11.0,VA,False,True,False,True,False,data scientist,senior,665,3,750.5,0.3
"Palo Alto, CA","Palo Alto, CA",Company - Private,K-12 Education,4.1,Education,0,169.0,CK-12 Foundation,16.0,CA,True,False,False,True,True,data scientist,senior,705,0,25.5,
"Phoenix, AZ","Westlake Village, CA",Company - Public,Lending,3.2,Finance,0,124.5,PennyMac,15.0,AZ,False,True,False,True,True,data scientist,na,267,3,3000.5,0.75
"Huntsville, AL","Arlington, VA",Company - Private,Aerospace & Defense,4.7,Aerospace & Defense,0,59.0,DECISIVE ANALYTICS Corporation,27.0,AL,False,True,False,False,True,data analyst,na,426,2,125.5,0.0375
"San Diego, CA","Waltham, MA",Company - Private,Consulting,4.2,Business Services,0,52.5,Opinion Dynamics,36.0,CA,False,True,False,True,False,na,na,521,0,125.5,0.0175
"Houston, TX","Reston, VA",Company - Private,IT Services,4.6,Information Technology,0,75.5,Applied Information Sciences,41.0,TX,False,False,False,True,False,data engineer,na,299,0,750.5,0.075
"Armonk, NY","Zurich, Switzerland",Company - Public,Insurance Agencies & Brokerages,3.7,Insurance,0,139.0,Swiss Re,160.0,NY,False,True,False,True,True,data scientist,senior,711,3,10000.0,10.0
"Columbia, SC","Charlotte, NC",Company - Private,Architectural & Engineering Services,4.4,Business Services,0,60.5,WK Dickson,94.0,SC,False,False,False,False,False,na,na,249,3,350.5,0.0375
"Worcester, MA","Worcester, MA",Company - Public,Insurance Carriers,3.7,Insurance,0,146.5,The Hanover Insurance Group,171.0,MA,True,True,False,True,True,data scientist,senior,703,0,7500.5,7.5
"South San Francisco, CA","South San Francisco, CA",Subsidiary or Business Segment,Biotech & Pharmaceuticals,3.9,Biotech & Pharmaceuticals,0,125.0,Genentech,47.0,CA,True,False,False,False,True,na,na,520,0,10000.0,10.0
"Springfield, MA","Springfield, MA",Company - Private,Insurance Carriers,3.6,Insurance,0,81.0,MassMutual,172.0,MA,True,True,False,True,False,data analyst,senior,703,0,7500.5,10.0
"Chicago, IL","Chicago, IL",Company - Private,Biotech & Pharmaceuticals,3.0,Biotech & Pharmaceuticals,0,133.0,Tempus Labs,8.0,IL,True,True,False,True,False,machine learning,senior,442,0,750.5,
"Washington, DC","Fairfax, VA",Subsidiary or Business Segment,IT Services,3.4,Information Technology,0,77.0,General Dynamics Information Technology,27.0,DC,False,False,False,True,True,data analyst,na,461,3,10000.0,10.0
"Herndon, VA","Herndon, VA",Company - Public,Research & Development,4.1,Business Services,0,92.0,ManTech,55.0,VA,True,False,False,True,False,data engineer,na,458,0,7500.5,1.5
"Cambridge, MA","Basel, Switzerland",Company - Public,Biotech & Pharmaceuticals,3.8,Biotech & Pharmaceuticals,0,121.0,Novartis,27.0,MA,False,False,False,False,False,data scientist,senior,292,0,10000.0,10.0
"San Francisco, CA","San Rafael, CA",Company - Public,Computer Hardware & Software,4.0,Information Technology,0,162.5,Autodesk,41.0,CA,False,True,False,True,True,data engineer,senior,345,0,7500.5,3.5
"San Antonio, TX","San Antonio, TX",Nonprofit Organization,Research & Development,3.9,Business Services,0,60.0,Southwest Research Institute,76.0,TX,True,False,False,False,False,na,na,270,3,3000.5,0.75
"Indianapolis, IN","Pleasanton, CA",Company - Private,Enterprise Software & Network Solutions,4.4,Information Technology,0,90.5,SpringML,8.0,IN,False,True,False,False,False,data engineer,na,274,0,25.5,
"Cambridge, MA","Basel, Switzerland",Company - Public,Biotech & Pharmaceuticals,3.8,Biotech & Pharmaceuticals,0,114.5,Novartis,27.0,MA,False,True,False,False,False,data scientist,na,688,0,10000.0,10.0
"Sunnyvale, CA","Sunnyvale, CA",Company - Public,Telecommunications Services,3.8,Telecommunications,0,121.0,Juniper Networks,27.0,CA,True,True,False,True,True,data scientist,na,320,0,7500.5,3.5
"Portsmouth, VA","Herndon, VA",Company - Public,Research & Development,4.1,Business Services,0,70.5,ManTech,55.0,VA,False,False,False,False,False,data analyst,na,644,0,7500.5,1.5
"Richland, WA","Richland, WA",Government,Energy,3.8,"Oil, Gas, Energy & Utilities",0,76.5,PNNL,58.0,WA,True,True,False,False,False,data scientist,na,849,3,3000.5,0.75
"Springfield, MA","Springfield, MA",Company - Private,Insurance Carriers,3.6,Insurance,0,92.0,MassMutual,172.0,MA,True,True,False,False,True,data engineer,na,403,0,7500.5,10.0
"Salt Lake City, UT","Salt Lake City, UT",Company - Private,Biotech & Pharmaceuticals,4.7,Biotech & Pharmaceuticals,0,140.5,Recursion Pharmaceuticals,10.0,UT,True,True,False,False,False,data scientist,senior,653,0,125.5,0.003
"Arlington, VA","Redlands, CA",Company - Private,Computer Hardware & Software,3.5,Information Technology,0,82.0,Esri,54.0,VA,False,True,False,True,False,data scientist,na,586,1,3000.5,1.5
"Rochester, NY","Rochester, NY",Hospital,Health Care Services & Hospitals,3.3,Health Care,0,84.5,Rochester Regional Health,9.0,NY,True,False,False,False,False,na,senior,487,0,10000.0,0.75
"Cambridge, MA","Cambridge, MA",Company - Public,Biotech & Pharmaceuticals,4.4,Biotech & Pharmaceuticals,0,134.5,Rubius Therapeutics,10.0,MA,True,False,False,False,False,na,senior,622,0,350.5,0.3
"San Francisco, CA","San Francisco, CA",Company - Private,Advertising & Marketing,3.3,Business Services,0,164.5,Samba TV,15.0,CA,True,False,False,False,False,data scientist,na,245,0,350.5,
"West Palm Beach, FL","West Palm Beach, FL",Company - Public,Telecommunications Manufacturing,3.4,Telecommunications,0,44.0,SV Microwave,32.0,FL,True,False,False,False,False,data analyst,na,305,0,350.5,0.075
"Annapolis Junction, MD","Annapolis Junction, MD",Company - Private,Computer Hardware & Software,4.0,Information Technology,0,93.5,ClearEdge,21.0,MD,True,False,False,False,True,na,na,637,0,125.5,0.0075
"Herndon, VA","Pleasanton, CA",Company - Private,Enterprise Software & Network Solutions,4.4,Information Technology,0,109.0,SpringML,8.0,VA,False,True,False,False,False,data engineer,na,358,0,25.5,
"Austin, TX","Redwood City, CA",Company - Private,Computer Hardware & Software,3.8,Information Technology,0,149.5,Sumo Logic,13.0,TX,False,False,False,False,False,data engineer,na,501,3,750.5,
"Washington, DC","Washington, DC",Company - Private,Research & Development,3.5,Business Services,0,65.5,EAB,16.0,DC,True,False,False,True,True,data engineer,na,657,0,3000.5,
"San Jose, CA","New York, NY",Company - Private,Advertising & Marketing,2.9,Business Services,0,114.0,Affinity Solutions,25.0,CA,False,True,False,True,False,data engineer,na,476,3,125.5,
"Exton, PA","Exton, PA",Nonprofit Organization,Banks & Credit Unions,3.9,Finance,0,49.0,Citadel Federal Credit Union,86.0,PA,True,True,False,True,False,data analyst,na,536,3,750.5,
"Rochester, NY","Rochester, NY",Hospital,Health Care Services & Hospitals,3.3,Health Care,0,84.5,Rochester Regional Health,9.0,NY,True,False,False,False,False,na,senior,481,0,10000.0,0.75
"Alexandria, VA","Alexandria, VA",Company - Private,IT Services,3.7,Information Technology,0,71.0,CALIBRE Systems,34.0,VA,True,False,False,True,True,data analyst,na,345,3,750.5,0.3
"Boston, MA","Springfield, MA",Company - Private,Insurance Carriers,3.6,Insurance,0,101.0,MassMutual,172.0,MA,False,False,False,False,False,director,na,580,0,7500.5,10.0
"Redlands, CA","Redlands, CA",Company - Private,Computer Hardware & Software,3.5,Information Technology,0,107.0,Esri,54.0,CA,True,True,False,False,False,data scientist,na,702,1,3000.5,1.5
"Ipswich, MA","Ipswich, MA",Company - Private,Biotech & Pharmaceuticals,4.7,Biotech & Pharmaceuticals,0,112.5,New England Biolabs,49.0,MA,True,True,False,False,True,data scientist,na,287,3,350.5,
"San Francisco, CA","San Francisco, CA",Company - Private,Internet,3.9,Information Technology,0,181.0,Tapjoy,16.0,CA,True,True,False,True,False,machine learning,na,275,2,350.5,0.0175
"Chicago, IL","Chicago, IL",Company - Public,Computer Hardware & Software,3.7,Information Technology,0,61.0,Motorola Solutions,95.0,IL,True,True,False,True,False,data analyst,na,806,3,10000.0,7.5
"Owensboro, KY","Winston-Salem, NC",Company - Private,Consumer Products Manufacturing,3.1,Manufacturing,0,103.5,Reynolds American,148.0,KY,False,False,False,False,False,na,na,673,0,7500.5,10.0
"Springfield, MA","Springfield, MA",Company - Private,Insurance Carriers,3.6,Insurance,0,63.0,MassMutual,172.0,MA,True,False,False,False,True,manager,na,800,0,7500.5,10.0
"Hartford, CT","Bengaluru, India",Company - Public,IT Services,3.0,Information Technology,0,62.5,Infosys,42.0,CT,False,False,False,False,True,na,na,499,3,10000.0,10.0
"Orange, CA","Orange, CA",Company - Private,Health Care Services & Hospitals,3.5,Health Care,0,94.5,Alignment Healthcare,10.0,CA,True,True,False,True,True,data engineer,na,824,0,750.5,
"Highland, CA","Highland, CA",Company - Private,Gambling,3.6,"Arts, Entertainment & Recreation",0,48.5,San Manuel Casino,37.0,CA,True,False,False,True,True,data analyst,na,618,0,3000.5,0.3
"Marlborough, MA","Marlborough, MA",Company - Private,Biotech & Pharmaceuticals,3.5,Biotech & Pharmaceuticals,0,154.5,Sunovion,13.0,MA,True,True,False,False,True,na,senior,597,3,3000.5,1.5
"Burleson, TX","Arlington, TX",Hospital,Health Care Services & Hospitals,4.0,Health Care,1,44.72,Texas Health Huguley Hospital,46.0,TX,False,False,False,False,False,na,na,712,0,3000.5,0.075
"Lenexa, KS","Chicago, IL",Company - Public,Stock Exchanges,3.7,Finance,0,87.0,Cboe Global Markets,50.0,KS,False,True,False,True,True,machine learning,na,397,0,750.5,0.75
"New York, NY","New York, NY",Company - Private,Research & Development,3.2,Business Services,0,64.5,Guidepoint,20.0,NY,True,True,False,True,True,data engineer,na,413,3,750.5,
"Pittsburgh, PA","Pittsburgh, PA",College / University,Colleges & Universities,2.6,Education,0,124.0,Software Engineering Institute,39.0,PA,True,False,False,False,False,machine learning,senior,733,0,750.5,
"Chicago, IL","Chicago, IL",Company - Private,Consulting,4.4,Business Services,0,128.5,Maven Wave Partners,15.0,IL,True,True,False,True,True,data scientist,senior,480,0,350.5,0.075
"Vail, CO","Vail, CO",Hospital,Health Care Services & Hospitals,3.7,Health Care,1,65.52000000000001,Vail Health,57.0,CO,True,False,False,False,False,na,na,253,0,750.5,0.3
"Scotts Valley, CA","Scotts Valley, CA",Nonprofit Organization,Health Care Services & Hospitals,3.5,Health Care,0,64.0,Central California Alliance for Health,27.0,CA,True,False,False,True,False,manager,na,575,0,750.5,0.75
"Knoxville, TN","Knoxville, TN",Company - Private,Gas Stations,3.0,Retail,0,98.0,Pilot Flying J Travel Centers LLC,65.0,TN,True,True,False,True,False,data engineer,senior,313,3,10000.0,10.0
